steps,time,reward,delta,converged
458,0.0,-0.13750000000000004,1.0,False
459,0.010000000000218279,-0.11199999999999986,1.0,False
460,0.0,-0.12727272727272732,1.0,False
461,0.010000000000218279,-0.14090909090909093,1.0,False
462,0.0,-0.11836734693877549,1.0,False
463,0.009999999999308784,-0.11764705882352938,1.0,False
464,0.0,-0.12432432432432436,1.0,False
465,0.010000000000218279,-0.13600000000000004,1.0,False
466,0.0,-0.12093023255813956,1.0,False
467,0.010000000000218279,-0.11249999999999988,1.0,False
468,0.0,-0.14090909090909093,1.0,False
469,0.010000000000218279,-0.14090909090909093,1.0,False
470,0.0,-0.12000000000000001,1.0,False
471,0.009999999999308784,-0.11451612903225797,1.0,False
472,0.0,-0.13333333333333336,1.0,False
473,0.010000000000218279,-0.12500000000000006,1.0,False
474,0.0,-0.12571428571428578,1.0,False
475,0.010000000000218279,-0.12432432432432436,1.0,False
476,0.0,-0.11874999999999998,1.0,False
477,0.0,-0.15294117647058827,1.0,False
478,0.0,-0.11836734693877549,1.0,False
479,0.009999999999308784,-0.11578947368421046,1.0,False
480,0.0,-0.12045454545454547,1.0,False
481,0.0,-0.12500000000000006,1.0,False
482,0.010000000000218279,-0.1089999999999998,1.0,False
483,0.010000000000218279,-0.11232876712328754,1.0,False
484,0.010000000000218279,-0.10918367346938757,1.0,False
485,0.009999999999308784,-0.11285714285714274,1.0,False
486,0.0,-0.13461538461538464,1.0,False
487,0.0,-0.13913043478260873,1.0,False
488,0.0,-0.14500000000000002,1.0,False
489,0.0,-0.11285714285714274,1.0,False
490,0.0,-0.13461538461538464,1.0,False
491,0.010000000000218279,-0.10873786407766971,1.0,False
492,0.009999999999308784,-0.10918367346938757,1.0,False
493,0.0,-0.14500000000000002,1.0,False
494,0.0,-0.25,1.0,False
495,0.010000000000218279,-0.10381355932203416,1.0,False
496,0.010000000000218279,-0.12903225806451618,1.0,False
497,0.0,-0.2125,1.0,False
498,0.0,-0.16000000000000003,1.0,False
499,0.0,-0.11058823529411749,1.0,False
500,0.009999999999308784,-0.13461538461538464,1.0,False
501,0.0,-0.12142857142857147,1.0,False
502,0.0,-0.13913043478260873,1.0,False
503,0.0,-0.11384615384615374,1.0,False
504,0.010000000000218279,-0.12903225806451618,1.0,False
505,0.0,-0.12045454545454547,1.0,False
506,0.0,-0.14500000000000002,1.0,False
507,0.0,-0.16923076923076924,1.0,False
508,0.0,-0.12903225806451618,1.0,False
509,0.009999999999308784,-0.12571428571428578,1.0,False
510,0.0,-0.11914893617021276,1.0,False
511,0.010000000000218279,-0.10756302521008382,1.0,False
512,0.010000000000218279,-0.13461538461538464,1.0,False
513,0.0,-0.11525423728813551,1.0,False
514,0.010000000000218279,-0.19999999999999998,1.0,False
515,0.0,-0.11168831168831155,1.0,False
516,0.0,-0.11034482758620673,1.0,False
517,0.010000000000218279,-0.10918367346938757,1.0,False
518,0.010000000000218279,-0.10989010989010971,1.0,False
519,0.010000000000218279,-0.11914893617021276,1.0,False
520,0.0,-0.11428571428571419,1.0,False
521,0.009999999999308784,-0.11034482758620673,1.0,False
522,0.010000000000218279,-0.111392405063291,1.0,False
523,0.0,-0.25,1.0,False
524,0.010000000000218279,-0.10999999999999982,1.0,False
525,0.010000000000218279,-0.11764705882352938,1.0,False
526,0.0,-0.12500000000000006,1.0,False
527,0.009999999999308784,-0.11836734693877549,1.0,False
528,0.0,-0.12368421052631584,1.0,False
529,0.010000000000218279,-0.11730769230769227,1.0,False
530,0.0,-0.11285714285714274,1.0,False
531,0.0,-0.11666666666666661,1.0,False
532,0.0,-0.2125,1.0,False
533,0.010000000000218279,-0.14090909090909093,1.0,False
534,0.009999999999308784,-0.10666666666666644,1.0,False
535,0.010000000000218279,-0.111392405063291,1.0,False
536,0.010000000000218279,-0.10681818181818159,1.0,False
537,0.0,-0.2285714285714286,1.0,False
538,0.010000000000218279,-0.11168831168831155,1.0,False
539,0.0,-0.13600000000000004,1.0,False
540,0.010000000000218279,-0.12000000000000001,1.0,False
541,0.0,-0.11836734693877549,1.0,False
542,0.009999999999308784,-0.12093023255813956,1.0,False
543,0.0,-0.11730769230769227,1.0,False
544,0.0,-0.13600000000000004,1.0,False
545,0.0,-0.11578947368421046,1.0,False
546,0.0,-0.11323529411764695,1.0,False
547,0.010000000000218279,-0.11764705882352938,1.0,False
548,0.009999999999308784,-0.10499999999999991,1.0,False
549,0.0,-0.14736842105263162,1.0,False
550,0.0,-0.1089999999999998,1.0,False
551,0.0,-0.13214285714285717,1.0,False
552,0.0,-0.11475409836065566,1.0,False
553,0.019999999999527063,-0.10284810126582335,1.0,False
554,0.0,-0.16000000000000003,1.0,False
555,0.0,-0.11343283582089542,1.0,False
556,0.010000000000218279,-0.12195121951219516,1.0,False
557,0.0,-0.12571428571428578,1.0,False
558,0.009999999999308784,-0.10789473684210506,1.0,False
559,0.010000000000218279,-0.12307692307692314,1.0,False
560,0.0,-0.14090909090909093,1.0,False
